Score,Name,Title,Firm,Category,Location,LinkedIn,Why relevant,Stage fit / flags
5,Veronica Daigle,Partner & President NatSec,Red Cell Partners,Venture studio,Washington DC US,LI unverified,Ex-Asst SecDef; Red Cell incubates own cos,Studio — partnership convo not pitch
5,Chip Walter,Managing Director,Marlinspike Partners,Dual-use VC,Washington DC US,LI not found,Ex-CIA In-Q-Tel tech sourcing; $127M Fund II,Seed/A skew
5,Filip Kaliszan,Co-founder & CEO,Verkada,Operator,San Mateo US,LI unverified,1 angel deal; Verkada sells K-12 lockdown tech,Strategic angel OR competitor — careful
5,Sanjay Beri,Founder & CEO,Netskope,Operator angel,SF Bay Area US,LI via posts,1 documented angel deal,Thin record
5,Anupama Vaid,Founder & President,ParentSquare,K-12 operator,Santa Barbara US,linkedin.com/in/anupamavaid,Parent-notification rail for 20M students; no documented investments,Strategic partner > angel
5,Amy Klement,Managing Partner,Imaginable Futures,Impact fund,Palo Alto US,LI not found,Omidyar education spin-out; grants + for-profit,US education equity focus
5,Eveline Buchatskiy,Founding Managing Partner,D3,UA defense fund,Kyiv UA,linkedin.com/in/eveline-buchatskiy,$30M Schmidt-backed; battlefield-validated preference,Only w/ civil-defense/air-raid shelter wedge
5,Michael Remmes,Vice President,State Farm Ventures,Insurance CVC,Bloomington IL US,linkedin.com/in/michael-remmes-65038049,Led Whisker Labs/Ting round,Later-stage strategic; follow-on
5,John Helm,Founder & Managing Director,RET Ventures,Rental proptech VC,Park City UT US,linkedin.com/in/john-helm-00820a1,Led SmartRent seed+A,LP mandate is rentals; needs angle
5,Rhys Spence,Head of Research & Platform,Brighteye Ventures,EU edtech VC,London UK,linkedin.com/in/rhys-spence,Largest EU edtech VC; safety quote unverified,Door-opener to partners
5,Jack Kerrigan,Co-founder & Managing Partner,Razor's Edge Ventures,NatSec VC,Reston VA US,razorsvc.com,Fund IV $560M natsec,Skews A/growth — Series A target
4,Celeste Ford,Founder & Managing Director,Stellar Ventures,Space VC,Palo Alto US,linkedin.com/in/ceford,Darkhive (first-responder drones) in portfolio,Off-thesis (space) — low priority
4,Tim Schigel,Managing Partner,Refinery Ventures,Early-scale VC,Cincinnati US,linkedin.com/in/timschigel,No natsec thesis; post-seed stage,Mismatch — skip
4,Sam Chaudhary,Co-founder & CEO,ClassDojo,Edtech operator,San Francisco US,LI unverified,No documented angel deals,Only with warm intro
4,Liesel Pritzker Simmons,Co-founder & Principal,Blue Haven Initiative,Impact family office,Cambridge MA US,LI not found,Direct venture sleeve is Africa-focused,Weak fit
